Judul,Harga,Harga per m²,Alamat,Kamar,Luas Tanah,Luas Bangunan,Kepemilikan Tanah,Pertumbuhan IHPR YoY,Suku Bunga KPR Nasional,Ac,Akses 24/7,Akses mobil,Akses wifi,Atm center,Balkon,Bank,Bathtub,Carport,Cctv,Garasi,Gorden,Gym,Internet berkecepatan,Jogging track,Kamar mandi,Kasur,Keamanan 24 jam,Kitchen set,Kolam publik,Kolam renang,Kompor,Kulkas,Lantai,Lemari pakaian,Listrik,Microwave,Minimarket,Musholla,Oven,Perabot,Pompa air,Restoran,Shower,Sumber air,Taman,Tangki air,Telepon,Tempat parkir,Water heater
Dijual Rumah Shm di Jalan Cumpat Nambangan GG.3 No 7,Rp430 Jt,"Rp8,3 Jt/m²","Kel. Kedung Cowek, Kec. Bulak, Kota Surabaya",3 Kamar Tidur,Luas Tanah 52m²,Luas Bangunan 50m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Murah Cepat Surabaya di Dukuh Menanggal,Rp700 Jt,"Rp8,2 Jt/m²","Kel. Dukuh Menanggal, Kec. Gayungan, Kota Surabaya",3 Kamar Tidur,Luas Tanah 85m²,Luas Bangunan 85m²,-,1.05%,10.38%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0
Dijual Rumah 1KT 48m² di Jl Simo Gunung Baru Jaya Blok G1,Rp250 Jt,"Rp5,2 Jt/m²","Kel. Putat Jaya, Kec. Sawahan, Kota Surabaya",1 Kamar Tidur,Luas Tanah 48m²,Luas Bangunan 48m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah 7KT 116m² di Jl Krakatau Raya No 20 Surabaya,"Rp1,4 M","Rp12,7 Jt/m²","Kel. Petemon, Kec. Sawahan, Kota Surabaya",7 Kamar Tidur,Luas Tanah 116m²,Luas Bangunan 195m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah SHM Lokasi Strategis (Bisa Nego) di Jl. Lebak Rejo No 3,"Rp2,2 M","Rp22,9 Jt/m²","Kel. Gading, Kec. Tambaksari, Kota Surabaya",4 Kamar Tidur,Luas Tanah 96m²,Luas Bangunan 96m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Asri 1 Lantai Taman Luas Depan Masjid di Rungkut Asri Timur XIII,Rp6 M,Rp15 Jt/m²,"Kel. Rungkut Kidul, Kec. Rungkut, Kota Surabaya",5 Kamar Tidur,Luas Tanah 400m²,Luas Bangunan 250m²,Sertifikat Hak Milik,1.05%,10.38%,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah 2 Lantai Nyaman Strategis di Tenggilis Utara Surabaya,"Rp3,3 M","Rp16,5 Jt/m²","Kel. Tengilis Mejoyo, Kec. Tenggilis Mejoyo, Kota Surabaya",5 Kamar Tidur,Luas Tanah 200m²,Luas Bangunan 300m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,1,0,0,PDAM,0,1,0,0,0
Dijual Rumah Lokasi Strategis Surabaya di Tengilis Utara,"Rp3,3 M","Rp16,5 Jt/m²","Kel. Tengilis Mejoyo, Kec. Tenggilis Mejoyo, Kota Surabaya",5 Kamar Tidur,Luas Tanah 200m²,Luas Bangunan 300m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,1,41500,0,0,0,0,Perabot,0,0,0,sumber air air tanah,0,0,0,0,1
Dijual Rumah Tenggilis Surabaya di Jjj,"Rp3,3 M","Rp16,5 Jt/m²","Kel. Tengilis Mejoyo, Kec. Tenggilis Mejoyo, Kota Surabaya",5 Kamar Tidur,Luas Tanah 200m²,Luas Bangunan 300m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Cepat Butuh Uang di di Jual Cepat Rumah Pandugo Baru B 18,"Rp2,2 M",Rp9 Jt/m²,"Kel. Penjaringansari (Penjaringan Sari), Kec. Rungkut, Kota Surabaya",4 Kamar Tidur,Luas Tanah 245m²,Luas Bangunan 300m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3900,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,1
