Judul,Harga,Harga per m²,Kamar,Luas Tanah,Luas Bangunan,Kepemilikan Tanah,Pertumbuhan IHPR YoY,Suku Bunga KPR Nasional,Ac,Akses 24/7,Akses mobil,Akses wifi,Atm center,Balkon,Bank,Bathtub,Carport,Cctv,Garasi,Gorden,Gym,Internet berkecepatan,Jogging track,Kamar mandi,Kasur,Keamanan 24 jam,Kitchen set,Kolam publik,Kolam renang,Kompor,Kulkas,Lantai,Lemari pakaian,Listrik,Microwave,Minimarket,Musholla,Oven,Perabot,Pompa air,Restoran,Shower,Sumber air,Taman,Tangki air,Telepon,Tempat parkir,Water heater,Desa,Kecamatan,Kota,log_harga,log_Harga
Dijual Rumah Shm di Jalan Cumpat Nambangan GG.3 No 7,430000000.0,8300000.0,3,52,50,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Kedung Cowek, Kec. Bulak, Kota Surabaya,19.879295768977464,19.879295768977464
Dijual Rumah Murah Cepat Surabaya di Dukuh Menanggal,700000000.0,8199999.0,3,85,85,-,1.05%,10.38%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0,Kel. Dukuh Menanggal, Kec. Gayungan, Kota Surabaya,20.36659089443625,20.36659089443625
Dijual Rumah 1KT 48m² di Jl Simo Gunung Baru Jaya Blok G1,250000000.0,5200000.0,1,48,48,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Putat Jaya, Kec. Sawahan, Kota Surabaya,19.33697147982652,19.33697147982652
Dijual Rumah 7KT 116m² di Jl Krakatau Raya No 20 Surabaya,1400000000.0,12700000.0,7,116,195,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Petemon, Kec. Sawahan, Kota Surabaya,21.05973807428191,21.05973807428191
Dijual Rumah SHM Lokasi Strategis (Bisa Nego) di Jl. Lebak Rejo No 3,2200000000.0,22900000.0,4,96,96,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Gading, Kec. Tambaksari, Kota Surabaya,21.511723197765228,21.511723197765228
Dijual Rumah Asri 1 Lantai Taman Luas Depan Masjid di Rungkut Asri Timur XIII,6000000000.0,15000000.0,5,400,250,Sertifikat Hak Milik,1.05%,10.38%,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Rungkut Kidul, Kec. Rungkut, Kota Surabaya,22.515025306341133,22.515025306341133
Dijual Rumah 2 Lantai Nyaman Strategis di Tenggilis Utara Surabaya,3300000000.0,16500000.0,5,200,300,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,1,0,0,PDAM,0,1,0,0,0,Kel. Tengilis Mejoyo, Kec. Tenggilis Mejoyo, Kota Surabaya,21.917188305721876,21.917188305721876
Dijual Rumah Lokasi Strategis Surabaya di Tengilis Utara,3300000000.0,16500000.0,5,200,300,Sertifikat Hak Milik,1.05%,10.38%,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,1,41500,0,0,0,0,Perabot,0,0,0,sumber air air tanah,0,0,0,0,1,Kel. Tengilis Mejoyo, Kec. Tenggilis Mejoyo, Kota Surabaya,21.917188305721876,21.917188305721876
Dijual Rumah Tenggilis Surabaya di Jjj,3300000000.0,16500000.0,5,200,300,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Tengilis Mejoyo, Kec. Tenggilis Mejoyo, Kota Surabaya,21.917188305721876,21.917188305721876
Dijual Rumah Cepat Butuh Uang di di Jual Cepat Rumah Pandugo Baru B 18,2200000000.0,9000000.0,4,245,300,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3900,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,1,Kel. Penjaringansari (Penjaringan Sari), Kec. Rungkut, Kota Surabaya,21.511723197765228,21.511723197765228
